date,outlet,title,url,theme,summary,paywalled
2025-12-02,Camara dos Deputados,"Judicializacao da saude consome R$ 1,84 bilhao com dez medicamentos mais caros",https://www.camara.leg.br/noticias/1228954-judicializacao-da-saude-consome-r-184-bilhao-com-dez-medicamentos-mais-caros,budget_pressure,"R$1.84 billion spent on just ten judicially ordered medications. R$2.7 billion annual bill equals one-third of Mais Medicos, nearly half of Brasil Sorridente, one-fifth of immunization program, and the entire SAMU budget -- serving only 6,000 patients.",no
2025-05-27,Agencia Brasil,"Judicializacao representa um terco do gasto estadual com medicamentos",https://agenciabrasil.ebc.com.br/saude/noticia/2025-05/judicializacao-representa-um-terco-dos-gastos-estaduais-com-remedios,budget_pressure,"IPEA study: judicialized medication spending averaged 32.9% of total state medication budgets in 2023. New health lawsuits jumped from 76,836 in 2020 to 162,046 in 2024 (110.9% increase).",no
2025-05,IPEA,"Judicializacao corresponde a quase 33% dos gastos em medicamentos de estados brasileiros",https://www.ipea.gov.br/portal/categorias/45-todas-as-noticias/noticias/15830-judicializacao-corresponde-a-quase-33-dos-gastos-em-medicamentos-de-estados-brasileiros,budget_pressure,"Municipalities increased medication spending by 40% vs 2019 while federal transfers fell 21% and state transfers fell 22%. Small municipalities (under 5,000 inhabitants) had highest per capita judicial medication cost at R$81.75.",no
2025-08,Diario do Para,"Ministerio Saude paga R$ 2,7 bilhoes com medicamentos judicializados e teme explosao de custos",https://diariodopara.com.br/noticias/brasil/ministerio-saude-paga-r-27-bilhoes-com-medicamentos-judicializados-e-teme-explosao-de-custos,budget_pressure,"Ministry of Health spent R$2.73 billion on judicially ordered medications in 2024, up from R$1.8 billion in 2022 (50% increase in two years). Gene therapy Elevidys (R$14.6 million/patient) could cause cost explosion -- R$3 billion estimated for 213 patients with active lawsuits.",no
2025-08,Regiao News,"Municipio banca mais de 80% dos gastos com medicamentos e judicializacao ja soma R$ 1 milhao em 2025",https://www.regiaonews.com.br/sidrolandia-ms/municipio-banca-mais-de-80-dos-gastos-com-medicamentos-e-judicializacao-ja-soma-r-1-milhao-em-2025,budget_pressure,"Small municipality of Sidrolandia (MS) spent R$1.016 million on judicially ordered medications in first 8 months of 2025, bearing 82% of costs. Receives only R$46,900/month in transfers but spends R$219,700/month of own funds.",no
2025,Medicina S/A,"Judicializacao da saude custou R$ 9,6 bilhoes a Uniao entre 2020 e 2024",https://medicinasa.com.br/judicializacao-custos/,budget_pressure,"Cumulative federal cost of health judicialization between 2020 and 2024 reached R$9.6 billion from 23,046 lawsuits. In 2024 alone, R$2.7 billion -- the highest on record. Eculizumab alone: R$1.77 billion across 2,871 cases.",no
2017-08-23,Portal TCU,"Aumentam os gastos publicos com judicializacao da saude",https://portal.tcu.gov.br/imprensa/noticias/aumentam-os-gastos-publicos-com-judicializacao-da-saude,budget_pressure,"TCU audit: federal spending on health litigation grew from R$70 million in 2008 to R$1 billion in 2015 -- 1,300% increase. Medication supply accounts for 80% of cases. TCU found measures taken by Ministry and states were insufficient.",no
2020-10-22,Conjur,"Decisao judicial nao deve desequilibrar o orcamento, diz Fux",https://www.conjur.com.br/2020-out-22/decisao-judicial-nao-desequilibrar-orcamento-fux/,budget_pressure,"STF Chief Justice Fux relieved municipality of Santa Isabel (SP) from court order to supply eculizumab (~R$860,000/year). Argued solidarity interpretation has deepened inequalities and diverted resources from sanitation and vaccination.",no
2024-10-17,Agencia Brasil,"STF finaliza acordo sobre judicializacao de remedios de alto custo",https://agenciabrasil.ebc.com.br/justica/noticia/2024-10/stf-finaliza-acordo-sobre-judicializacao-de-remedios-de-alto-custo,budget_pressure,"STF finalized agreement with federal/state/municipal governments on high-cost medication lawsuits. Monthly health lawsuits rose from 21,000 in 2020 to 61,000 in 2024, totaling ~600,000 annually.",no
2023-11,Ministerio da Saude,"Ministerio da Saude volta a ressarcir estados e municipios pela judicializacao de medicamentos",https://www.gov.br/saude/pt-br/assuntos/noticias/2023/novembro/ministerio-da-saude-volta-a-ressarcir-estados-e-municipios-pela-judicializacao-de-medicamentos,budget_pressure,"Ministry of Health issued Portaria GM/MS No. 1,805 to resume reimbursing states and municipalities for judicialized medication purchases. Reimbursement had been suspended since 2017.",no
2019-03-18,Portal CNJ,"Demandas judiciais relativas a saude crescem 130% em dez anos",https://www.cnj.jus.br/demandas-judiciais-relativas-a-saude-crescem-130-em-dez-anos/,budget_pressure,"CNJ/Insper study: health judicial demands grew 130% between 2008 and 2017 vs 50% for overall litigation. Identified 498,715 first-instance health proceedings across 17 state courts. Ministry spending grew 13-fold in seven years.",no
2025-04,Conjur,"TJ-RJ recebeu 35 acoes sobre saude por dia nos ultimos 4 anos",https://www.conjur.com.br/2025-abr-17/tj-rj-recebeu-35-acoes-relacionadas-a-saude-por-dia-nos-ultimos-quatro-anos/,budget_pressure,"TJRJ registered 53,157 health lawsuits between 2021-2025 -- 35 new cases per day. State government (55.4%) and Rio municipality (22.4%) together accounted for 78% of all health lawsuits.",no
