nome_generico,nome_comercial,principio_ativo,indicacao_principal,anvisa_registro,rename_2024,conitec_status,custo_estimado,impacto_judicial,notas
Vosoritida,Voxzogo,Vosoritida,Acondroplasia,Sim,Não,Não incorporar (2023),R$ 875M (2022-2024 total),Muito Alto,Maior gasto em judicialização no Ministério da Saúde
Onasemnogeno abeparvoveque,Zolgensma,Onasemnogeno abeparvoveque,Atrofia Muscular Espinhal (AME),Sim (2020),Não,Não ampliar (2026),"R$ 6,5M por dose",Muito Alto,Medicamento mais caro do mundo; 113 decisões favoráveis = R$ 944M
Nusinersena,Spinraza,Nusinersena,AME tipo I,Sim,Sim (tipo I),Incorporar (2019),R$ 145k por dose,Alto,Incorporado para tipo I; judicialização para tipos II/III
Risdiplam,Evrysdi,Risdiplam,Atrofia Muscular Espinhal,Sim,Sim,Incorporar (2022),R$ 50-70k/mês,Médio,Alternativa oral ao Spinraza; incorporado ao SUS
Pembrolizumabe,Keytruda,Pembrolizumabe,"Oncologia (melanoma, pulmão)",Sim,Parcial,Incorporar (indicações específicas),R$ 20-30k/aplicação,Alto,Imunoterapia; judicializado para indicações não incorporadas
Nivolumabe,Opdivo,Nivolumabe,"Oncologia (melanoma, pulmão)",Sim,Parcial,Incorporar (indicações específicas),R$ 15-25k/aplicação,Alto,Imunoterapia oncológica anti-PD1
Trastuzumabe,Herceptin,Trastuzumabe,Câncer de mama HER2+,Sim,Sim,Incorporar,R$ 5-10k/aplicação,Médio,Incorporado; judicializado para uso off-label
Bevacizumabe,Avastin,Bevacizumabe,"Oncologia, DMRI (off-label)",Sim,Sim (oncologia),Incorporar,R$ 2-5k/aplicação,Alto,Uso off-label oftalmológico frequentemente judicializado
Canabidiol,Vários,Canabidiol (CBD),Epilepsia refratária,Sim (produtos específicos),Não,Em avaliação,R$ 1-5k/mês,Alto,Alta judicialização; importação controlada
Fosfoetanolamina,Pílula do câncer,Fosfoetanolamina sintética,Câncer (sem eficácia),Não,Não,Não incorporar,N/A,Histórico,13.000 liminares em 8 meses (2015-2016); sem eficácia comprovada
Dupilumabe,Dupixent,Dupilumabe,Dermatite atópica grave,Sim,Não,Não incorporar (2023),R$ 5-10k/mês,Alto,Biológico anti-IL4/IL13 não incorporado
Adalimumabe,Humira,Adalimumabe,"Artrite, psoríase, Crohn",Sim,Sim,Incorporar,R$ 3-5k/mês,Médio,Anti-TNF; judicialização para indicações não listadas
Infliximabe,Remicade,Infliximabe,"Artrite, Crohn",Sim,Sim,Incorporar,R$ 3-6k/aplicação,Médio,Anti-TNF incorporado ao SUS
Etanercepte,Enbrel,Etanercepte,"Artrite, psoríase",Sim,Sim,Incorporar,R$ 2-4k/mês,Médio,Anti-TNF incorporado ao SUS
Ranibizumabe,Lucentis,Ranibizumabe,"DMRI, retinopatia diabética",Sim,Sim,Incorporar,R$ 2-4k/aplicação,Médio,Anti-VEGF oftalmológico incorporado
Aflibercepte,Eylea,Aflibercepte,"DMRI, retinopatia diabética",Sim,Sim,Incorporar,R$ 3-5k/aplicação,Médio,Anti-VEGF oftalmológico incorporado
Tofacitinibe,Xeljanz,Tofacitinibe,Artrite reumatoide,Sim,Sim,Incorporar,R$ 3-5k/mês,Baixo,Inibidor JAK oral incorporado
Secuquinumabe,Cosentyx,Secuquinumabe,"Psoríase, artrite psoriásica",Sim,Sim,Incorporar,R$ 4-6k/mês,Baixo,Anti-IL17 incorporado
Ustequinumabe,Stelara,Ustequinumabe,"Psoríase, Crohn",Sim,Sim,Incorporar,R$ 8-12k/aplicação,Baixo,Anti-IL12/23 incorporado
Omalizumabe,Xolair,Omalizumabe,"Asma grave, urticária",Sim,Sim,Incorporar,R$ 2-5k/mês,Médio,Anti-IgE; judicialização para urticária
Fingolimode,Gilenya,Fingolimode,Esclerose múltipla,Sim,Sim,Incorporar,R$ 5-8k/mês,Médio,Incorporado para EM remitente-recorrente
Natalizumabe,Tysabri,Natalizumabe,Esclerose múltipla,Sim,Sim,Incorporar,R$ 6-10k/mês,Médio,Para EM agressiva; incorporado
Ocrelizumabe,Ocrevus,Ocrelizumabe,Esclerose múltipla,Sim,Sim,Incorporar (2020),R$ 30-40k/semestre,Médio,Para EM progressiva primária; incorporado
Eculizumabe,Soliris,Eculizumabe,"HPN, SHUa",Sim,Sim,Incorporar,R$ 40-60k/mês,Alto,Ultra-órfão; um dos mais caros em tratamento contínuo
Laronidase,Aldurazyme,Laronidase,Mucopolissacaridose I,Sim,Sim,Incorporar,R$ 50-100k/mês,Alto,Doença rara; tratamento enzimático
Idursulfase,Elaprase,Idursulfase,Mucopolissacaridose II,Sim,Sim,Incorporar,R$ 80-150k/mês,Alto,Síndrome de Hunter; um dos mais caros
Galsulfase,Naglazyme,Galsulfase,Mucopolissacaridose VI,Sim,Sim,Incorporar,R$ 60-120k/mês,Alto,Síndrome de Maroteaux-Lamy
Imiglucerase,Cerezyme,Imiglucerase,Doença de Gaucher,Sim,Sim,Incorporar,R$ 20-50k/mês,Médio,Doença lisossômica; incorporado
Alfaelosulfase,Vimizim,Alfaelosulfase,Mucopolissacaridose IVA,Sim,Sim,Incorporar,R$ 80-150k/mês,Alto,Síndrome de Morquio A
Miglustate,Zavesca,Miglustate,"Gaucher, Niemann-Pick C",Sim,Sim,Incorporar,R$ 15-25k/mês,Médio,Alternativa oral para doenças lisossômicas
